url	nama	harga	jenis	address	aircon	free_wifi	kamar_mandi_dalam	fasilitas_kamar	fasilitas_kost
https://www.sewakost.com/jakarta/selatan/kost-ciganjur-jalan-pasir-no-32-62045.html	Kost Ciganjur Jalan Pasir No. 32	Rp 1.000.000	Kost Campur	Jalan Pasir no 32 Kp. Setu Rt 001/006 Kelurahan Ciganjur, Jagakarsa, Jakarta Selatan	Tidak	Tidak	Ya	['Kamar Mandi Dalam']	['Keamanan', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kost-executive-jagakarsa-paso-cilandak-jakarta-selatan-93267.html	KOST EXECUTIVE JAGAKARSA PASO CILANDAK JAKARTA SELATAN	Rp 2.200.000	Kost Putra	Jalan Paso no 6A, Jagakarsa, Cilandak, Jakarta Selatan	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kamar Mandi Dalam']	['Ruang Tamu', 'Ruang Makan', 'Dapur', 'Air Minum', 'Pembantu', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/kamar-kost-putri-non-ac-di-mampang-93215.html	Kamar kost Putri NON AC di Mampang	Rp 850.000	Kost Putri	Jl.Mampang Prapatan VI Rt04 Rw02 No.70B	Tidak	Tidak	Tidak	[]	[]
https://www.sewakost.com/jakarta/selatan/hompy-timur-residence-86803.html	Hompy Timur Residence	Rp 2.700.000	Kost Putri	Tebet Timur Dalam 7B no. 11	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Dapur', 'Cuci Setrika', 'Pembantu', 'Keamanan', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/rumah-kontrakan-40m2-pasutri-baru-karyawati-karyawan-40141.html	Rumah kontrakan (40m2) Pasutri baru/karyawati/karyawan.	Rp 2.500.000	Kost Pasutri	Jalan keselamatan 18 RT10/RW03	Ya	Tidak	Ya	['AC', 'Kamar Mandi Dalam']	['Ruang Tamu', 'Ruang Makan', 'Dapur', 'Keamanan', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kost-khusus-karyawan-buncit-mampang-91976.html	Kost Khusus Karyawan Buncit Mampang	Rp 900.000	Kost Putra	Jln. Buncit Raya Gg. H Yahya (Belakang Gedung CIMB Niaga)	Tidak	Tidak	Ya	['Kamar Mandi Dalam']	['Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kos-jakarta-selatan-54092.html	KOS JAKARTA SELATAN 	Rp 1.000.000	Kost Campur	jln papandayan no 14 kelurahan pasar manggis kecamatan setiabudi jakarta selatan	Tidak	Ya	Ya	['Spring Bed', 'Free WiFi', 'Kamar Mandi Dalam']	['Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kost-pejaten-barat-dekat-unas-rs-siaga-86341.html	Kost Pejaten Barat dekat UNAS, RS Siaga	Rp 1.200.000	Kost Putra	Jl. Siaga I no 28 B Pejaten Barat, Pasar Minggu.	Tidak	Tidak	Ya	['Spring Bed', 'Kamar Mandi Dalam']	['Ruang Tamu', 'Dapur', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kost-ekslusif-di-jakarta-selatan-5376.html	KOST EKSLUSIF DI JAKARTA SELATAN	Rp 850.000	Kost Campur	JL. Kapten tendean no.2A (dekat kampus interstudy) Pela Mampang, Jakarta Selatanstu	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kulkas', 'Kamar Mandi Dalam']	['Dapur', 'Mesin Cuci (Cuci Sendiri)', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/kost-murah-di-tb-simatupang-pasar-minggu-jakarta-selatan-87780.html	Kost Murah di TB Simatupang Pasar Minggu Jakarta Selatan	Rp 1.000.000	Kost Campur	Jl. Jati padang poncol RT. 006 RW. 008 No. 7, Kel. Jatipadang, Kec. Pasar Minggu Jakarta Selatan (Samping SMPN 218 Jakarta Selatan)	Ya	Ya	Tidak	['Free WiFi', 'AC', 'TV', 'Kulkas']	['Dapur', 'Mesin Cuci (Cuci Sendiri)', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kost-feby-alley-khusus-putri-86240.html	Kost Feby Alley... Khusus Putri...	Rp 1.000.000	Kost Putri	Jl. Antene II Bawah No.15 RT.03/08 Kramat Pela, Kebayoran Baru, Jakarta Selatan 12130	Ya	Ya	Tidak	['Spring Bed', 'Perabot', 'Free WiFi', 'AC']	['Dapur']
https://www.sewakost.com/jakarta/selatan/kost-premium-termurah-daerah-mampang-jakarta-selatan-86233.html	Kost Premium Termurah Daerah Mampang Jakarta Selatan	Rp 1.650.000	Kost Campur	Jalan Bank III No 1 Kelurahan Pela Mampang, Mampang Prapatan	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Ruang Tamu', 'Dapur', 'Air Minum', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/sewa-kost-putri-ac-amp-non-ac-ekonomis-di-mampang-jakarta-selatan-86583.html	Sewa Kost Putri AC & Non AC Ekonomis di Mampang Jakarta selatan	Rp 1.300.000	Kost Putri	Jl. A. N.7C, RT.008 RW/002, Tegal Parang, Mampang Prapatan, Jakarta Selatan	Ya	Ya	Tidak	['Spring Bed', 'Perabot', 'Free WiFi', 'AC']	['Keamanan', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kost-rumah-kita-1a-86418.html	Kost Rumah Kita 1A	Rp 1.800.000	Kost Campur	Pondok Jaya 3 No 1A, Pela Mampang, Mampang Prapatan, Jakarta Selata	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'Kamar Mandi Dalam']	['Parkir Motor']
https://www.sewakost.com/jakarta/selatan/kost-arin-cilandak-timur-jakarta-selatan-42821.html	Kost Arin - Cilandak Timur jakarta selatan	Rp 1.600.000	Kost Campur	Jalan Lapangan tembak no 73/27 RT13/RW01 Cilandak Timur jakarta Selatan	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'Kamar Mandi Dalam']	['Dapur', 'Keamanan', 'Parkir Motor']
https://www.sewakost.com/jakarta/selatan/southouse-residence-premium-kost-81957.html	Southouse Residence Premium Kost	Rp 6.500.000	Kost Campur	Jl. Karet Pedurenan no.2, Jakarta Selatan	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kulkas', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Ruang Tamu', 'Dapur', 'Air Minum', 'Cuci Setrika', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/comfy-kost-cinere-38977.html	Comfy Kost - Cinere	Rp 1.700.000	Kost Campur	Comfy Kost - jl. H. Saleh 2 No. 55, RT 07 / RW 07, Pangkalan Jati, Cinere, Kota Depok 16514	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kamar Mandi Dalam']	['Ruang Tamu', 'Televisi', 'Ruang Makan', 'Dapur', 'Cuci Setrika', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/kost-exclusive-2510-urban-living-kemang-66344.html	Kost exclusive 2510 Urban Living kemang 	Rp 5.250.000	Kost Campur	2510 Urban Living jl.Kemang Raya No.39	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'TV', 'Kulkas', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Dapur', 'Cuci Setrika', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/bintaro-kost-kost-strategis-di-bintaro-jakarta-selatan-6289.html	Bintaro Kost - Kost Strategis di Bintaro Jakarta Selatan	Rp 1.400.000	Kost Campur	Jl. Kesehatan 3 No 29A Pesanggrahaan Bintaro	Ya	Ya	Tidak	['Spring Bed', 'Perabot', 'Free WiFi', 'AC']	['Ruang Tamu', 'Televisi', 'Ruang Makan', 'Dapur', 'Air Minum', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
https://www.sewakost.com/jakarta/selatan/kost-exclusive-strategis-dekat-perkantoran-dan-area-wisata-66336.html	Kost exclusive, strategis, dekat perkantoran dan area wisata	Rp 1.850.000	Kost Campur	Kebagusan Wates No. 43 RT 011 RW 005 Jagakarsa Jakarta Selatan	Ya	Ya	Ya	[]	[]
https://www.sewakost.com/jakarta/selatan/homy-residence-kost-idaman-dekat-stasiun-mrt-fatmawati-39505.html	HOMY Residence-Kost Idaman Dekat Stasiun MRT Fatmawati	Rp 2.500.000	Kost Campur	Alamat:  Jl, Banjarsari 2 No.5 . RT 02 RW 08. Kelurahan Cilandak Barat (dekat Jl. Raya Fatmawati), Kecamatan Cilandak – Jakarta Selatan 12430	Ya	Ya	Ya	['Spring Bed', 'Perabot', 'Free WiFi', 'AC', 'Kamar Mandi Dalam', 'Pemanas Air (Water Heater)']	['Ruang Tamu', 'Televisi', 'Ruang Makan', 'Dapur', 'Pembantu', 'Keamanan', 'Parkir Motor', 'Parkir Mobil']
